Date,Ticker,Headline,Full_Text,Source
2026-06-03 04:17:19+00:00,SENSEX,Sensex falls 800 points: Why is stock market down today? - India Today,Sensex falls 800 points: Why is stock market down today?  India Today,GNews (India Today)
2026-06-03 04:17:19+00:00,SENSEX,Sensex falls 800 points: Why is stock market down today? - India Today,Sensex falls 800 points: Why is stock market down today?  India Today,GNews (India Today)
2026-06-03 03:57:49+00:00,SENSEX,"SENSEX drops over 600 points, NIFTY50 opens at 23,415 as IT stocks drag down indices; TCS, HCL Tech among top losers - Upstox","SENSEX drops over 600 points, NIFTY50 opens at 23,415 as IT stocks drag down indices; TCS, HCL Tech among top losers  Upstox",GNews (Upstox)
2026-06-02 21:53:21+00:00,SENSEX,"Sensex, Nifty End 8th Consecutive Session Lower in Narrow Range - News On AIR","Sensex, Nifty End 8th Consecutive Session Lower in Narrow Range  News On AIR",GNews (News On AIR)
2026-06-02 20:38:25+00:00,SENSEX,"Sensex, Nifty End Lower, Breaking Last Week’s Winning Streak | Akashvani News - News On AIR","Sensex, Nifty End Lower, Breaking Last Week’s Winning Streak | Akashvani News  News On AIR",GNews (News On AIR)
2026-06-02 20:38:25+00:00,SENSEX,"Sensex, Nifty End Lower, Breaking Last Week’s Winning Streak | Akashvani News - News On AIR","Sensex, Nifty End Lower, Breaking Last Week’s Winning Streak | Akashvani News  News On AIR",GNews (News On AIR)
2026-06-02 19:53:58+00:00,SENSEX,"Sensex Tanks 1,353 Points; Nifty Slips 422 Points - News On AIR","Sensex Tanks 1,353 Points; Nifty Slips 422 Points  News On AIR",GNews (News On AIR)
2026-06-02 17:26:49+00:00,SENSEX,"ONDC raises Rs 220 crore from Zoho, Uber, Paytm and BSE Technologies",Open commerce network says participation of new investors validates progress of its interoperable digital commerce ecosystem; fundraise programme to continue,NewsData.io (moneycontrol)
2026-06-02 17:16:46+00:00,SENSEX,"ONDC to raise Rs 430 Cr from SBI, Zoho, Uber, Paytm, Amul and others","Government-backed digital commerce network Open Network for Digital Commerce (ONDC) is raising Rs 430 crore from a group of strategic investors, including Zoho, Uber, Paytm, NSE, BSE Technologies, AMUL, SBI, PNB and others, as it gears up for its next phase of growth under the ONDC 2.0 strategy. According to regulatory filings accessed from the Registrar of Companies (RoC), ONDC has already received Rs 220 crore. SaaS firm Zoho emerged as the largest contributor with Rs 70 crore, while Uber and Paytm invested Rs 60 crore each. BSE Technologies, the technology arm of BSE, infused the remaining Rs 30 crore. As per the filing, the remaining Rs 210 crore is expected to be infused in one or more tranches by a mix of existing and new strategic investors. National Stock Exchange, Quality Council of India, Punjab National Bank, dairy giant Amul, and National Agricultural Cooperative Marketing Federation of India Limited are slated to invest Rs 30 crore each, while State Bank of India will contribute Rs 60 crore. The fresh capital will support ONDC’s transition to its ONDC 2.0 strategy, focused on building a national digital commerce infrastructure. The funds will be deployed toward AI-led and agentic commerce initiatives, digital public infrastructure projects such as DigiCatalog, quality assurance, and expansion across key sectors. Queries sent to ONDC remained unanswered till the time of publication. We will update the story if and when we receive a response. ONDC, backed by the Department for Promotion of Industry and Internal Trade (DPIIT), is building an interoperable ecommerce network designed to reduce entry barriers for businesses. The network processed 218 million transactions in FY26. Last month, Zoho announced its Rs 70 crore investment in ONDC to support the development of sovereign digital infrastructure in India and strengthen technology access for MSMEs.",NewsData.io (entrackr)
2026-06-02 16:26:01+00:00,SENSEX,"Top Stories: IEA’s ‘red zone’ warning, Alphabet AI fundraise, OYO IPO nod, CBSE chair transferred and more","Top 10@10 — CNBC-TV18’s daily newsletter featuring the top 10 stories on markets, corporate updates, economic insights, and financial highlights — delivered at 10 pm.",NewsData.io (cnbctv18)
2026-06-02 16:26:01+00:00,SENSEX,"Top Stories: IEA’s ‘red zone’ warning, Alphabet AI fundraise, OYO IPO nod, CBSE chair transferred and more","Top 10@10 — CNBC-TV18’s daily newsletter featuring the top 10 stories on markets, corporate updates, economic insights, and financial highlights — delivered at 10 pm.",NewsData.io (cnbctv18)
2026-06-02 16:26:01+00:00,SENSEX,"Top Stories: IEA’s ‘red zone’ warning, Alphabet AI fundraise, OYO IPO nod, CBSE chair transferred and more","Top 10@10 — CNBC-TV18’s daily newsletter featuring the top 10 stories on markets, corporate updates, economic insights, and financial highlights — delivered at 10 pm.",NewsData.io (cnbctv18)
2026-06-02 16:02:48+00:00,SENSEX,SENSEX Price Structure Analysis [03.06.2026: Wednesday],"Probable Scenario Analysis for the 03rd of June 2026. The day is Wednesday. (1) Bullish Scenario: There is no observable bullish scenario, as there is no evidence of a higher-highs and lower-lows structure in any timeframe . However, a risky (or doubtful) bullish setup could be activated if the price sustains above the level of 75000. It is not recommended yet, but risky traders can target a few bullish levels above 75000. These risky bullish levels are - 75250, 75500, and 75750. Next, if price forms higher-highs and lower-lows structure above the level of 75750 and decisively trades above the level of 76000, then confident bullishness would emerge in the markets. The confident bullish levels above the level 76000 are - 76250 and 76500. (2) Bearish Scenario: Presently, the price is in a lower-lows and lower-highs structure. However, the sudden bullish move on the expiry day has pushed the price into an indecisive zone. Now level 74500 is a strong support. So, take no bearish trade unless the price decisively breaks down below the level 74500. However, again, the bearish move below the level 74500 would be led by underconfident bears as there is a super strong support at the level 74000. Thus, underconfident bearish levels below the level 74500 are - 74250 and 74000. Next, if the price starts to trade below the level 74000, then there will be a sharp sell-off. The probable confident bearish levels below the level 74000 are - 73750 and 73500. (3) No Trading Zone (NTZ): (75000 - 74500). (4) Zone of Indecision (or doubt or high-risk): (75750 - 74500). (5) Strong Resistance Zone: (75750 - 75000). (6) Range of Consolidation (ROC): (75000 - 74000). Here, the level 74500 is the median of the ROC. Price sustaining above the median (74500) would ensure bullish continuation. On the contrary, if the price sustains below the median (74500), then bearishness would continue. Presently, the price is slightly above the median (74500). Additionally, a breakout above the upper limit of the ROC (i.e., 75000) would motivate the bulls to continue the bullish trend. On the contrary, a breakdown below the lower limit of the ROC (i.e., 74000) would motivate the bears to push down the market. (7) Event: No high-impact event or expiry on Wednesday. However, there are two high-impact events on Friday (05.06.2026) this week - (i) RBI Interest Rate Decision and (ii) GDP Growth Rate. Lastly, geopolitical issues are omnipresent. Thus, markets might behave erratically. Be cautious. (8) Establish intraday bias with respect to the opening price. If price sustains above the opening price, then don't think of shorting. Look for bullish trades only. On the contrary, if the price sustains below the opening price, then don't think of going long. Look for bearish trades in that case. Top-Down Analysis: (1) Monthly TF: Super sideways consolidation for the past four months. Level 76000 is strong resistance, and level 74000 is strong support. The view is indecisive to bearish. (2) Weekly TF: Since February 2026, the market is in a lower-lows and lower-highs structure. For the past four weeks, the market has been sideways. The view is indecisive to bearish. (3) Daily TF: The candle of 02nd June seems like a bullish piercing candle. However, it does not make the scenario bullish. The lower-lows and lower-highs structure is still intact. Strong support level 74000. The strong resistance level is 76000. The view is indecisive to bearish. (4) 30-minute TF: The lower-lows and lower-highs structure is intact. Doubt all the upmove unless price decisively starts to trade above the level 76000. Strong support is 74000. The view is indecisive to bearish. NOTE: (i) All the analyses would fail in the case of a major gap up, gap down, or price structure anomaly. Thus, practice PRAGMATISM in the live session. (ii) Trade only if there is a set-up. Remember, not trading is an extension of the trading activity. (iii) Mark your points. Trade your points. Price is GOD. Anything can happen in the markets. Therefore, always PRACTICE RISK MANAGEMENT. Always PROTECT YOUR CAPITAL . Be RESPONSIBLE. (iv) Be Strategic. Be Courageous. Be Patient. Be Wise. (v) Every day is a new day. Thus, do not carry the baggage of the past successes or failures. Leave the gardens of winning and losing. Establish yourself in equanimity. Always think from a new perspective. (vi) Let the joy of trading drive your effectiveness, not greed or fear. Believe in Possibilities. Happy Trading!",NewsData.io (in_tradingview)
